site,Date.dd.mm.yyyy.,REFR.440.,REFR.676.,REFR.869.,REFR.1020.,REFI.440.,REFI.676.,REFI.869.,REFI.1020.,SSA676.T,SSA869.T,SSA1020.T,ASYM440.T,ASYM676.T,ASYM869.T,VolCon.F,VolMedianRad.F,StdDev.F,VolCon.C,VolMedianRad.C,StdDev.C,X.sphericity,SSA440.T,ASYM1020.T,X0.05,X0.065604,X0.086077,X0.112939,X0.148184,X0.194429,X0.255105,X0.334716,X0.439173,X0.576227,X0.756052,X0.991996,X1.301571,X1.707757,X2.240702,X2.939966,X3.857452,X5.06126,X6.640745,X8.713145,X11.432287,X15,RadiativeForcing.BOA.,RadiativeForcing.TOA.,ForcingEfficiency.BOA.,ForcingEfficiency.TOA.,sky_error,AOT_1020,AOT_870,AOT_675,AOT_440,Water.cm.
beijing,2002/4/25,1.5,1.5547,1.5888,1.5827,0.015424,0.009737,0.011395,0.010221,0.8631,0.8503,0.8622,0.691499,0.654177,0.661986,0.059,0.127,0.46,0.23,2.682,0.685,4.312799,0.8377,0.677219,0.001524,0.016011,0.052445,0.061906,0.038232,0.019193,0.011279,0.009783,0.012564,0.019703,0.031951,0.050783,0.07127,0.083798,0.098075,0.123737,0.143233,0.121791,0.067693,0.024052,0.005448,0.000784,-114.59971,-21.45958,-232.33542,-43.5064,3.326356,0.317194,0.353306,0.415834,0.607737,0.869127
beijing,2002/4/26,1.4318,1.4841,1.5131,1.5167,0.018322,0.011455,0.014232,0.015098,0.8785,0.8496,0.8383,0.707671,0.639914,0.631523,0.138,0.159,0.512,0.203,2.242,0.587,31.941369,0.8475,0.641689,0.001298,0.010593,0.059255,0.141162,0.118645,0.062776,0.038147,0.031784,0.029833,0.028916,0.034347,0.054093,0.085232,0.103986,0.121835,0.140523,0.112272,0.052148,0.018437,0.006569,0.002379,8e-04,-137.19384,-30.15264,-163.61884,-35.96036,2.134333,0.450819,0.524254,0.678058,1.071542,1.392294
beijing,2002/4/26,1.5237,1.5483,1.5687,1.565,0.023607,0.012818,0.014308,0.015343,0.8779,0.8579,0.8443,0.708866,0.6468,0.630777,0.094,0.164,0.441,0.22,2.275,0.653,33.539761,0.8402,0.636775,0.001133,0.007259,0.029486,0.070089,0.088468,0.066326,0.041629,0.028968,0.024473,0.025793,0.034636,0.054081,0.077291,0.096449,0.122087,0.146854,0.128053,0.07018,0.027671,0.009623,0.003228,0.001047,-112.15552,-28.13659,-132.06006,-33.13006,3.222575,0.44404,0.518537,0.677142,1.080192,1.409231
beijing,2002/4/27,1.5235,1.5593,1.5803,1.5743,0.023668,0.013481,0.015674,0.015554,0.8715,0.8456,0.8432,0.697046,0.639658,0.633572,0.104,0.152,0.468,0.231,2.218,0.682,13.252807,0.8354,0.643584,0.001551,0.011772,0.050925,0.097322,0.084423,0.054213,0.037377,0.030847,0.02827,0.028332,0.037557,0.066731,0.103703,0.10702,0.106736,0.123945,0.127063,0.08385,0.035553,0.011849,0.003611,0.001049,-176.99407,-29.33371,-198.5941,-32.91354,1.996437,0.48028,0.558475,0.719043,1.133366,1.351417
beijing,2002/4/27,1.5309,1.5596,1.5812,1.5743,0.023727,0.014231,0.015624,0.01518,0.8679,0.8479,0.848,0.703189,0.646025,0.634398,0.108,0.157,0.462,0.247,2.24,0.678,10.125766,0.8385,0.64228,0.001432,0.011787,0.047102,0.088852,0.090369,0.066388,0.044547,0.032477,0.027726,0.028983,0.040867,0.071577,0.10689,0.112247,0.113799,0.133033,0.140704,0.09451,0.037498,0.011135,0.003296,0.001118,-196.16033,-27.5389,-203.7822,-28.60893,2.725801,0.512612,0.599063,0.77398,1.222133,1.439576
beijing,2002/5/1,1.4961,1.5228,1.539,1.5239,0.022393,0.014058,0.014771,0.013707,0.8715,0.8594,0.8653,0.688576,0.642063,0.639738,0.044,0.145,0.494,0.066,1.993,0.746,4.650398,0.8428,0.654982,0.00084,0.008288,0.028678,0.03956,0.03062,0.020086,0.014622,0.012703,0.012462,0.012815,0.014728,0.021666,0.033749,0.036274,0.02903,0.024396,0.022788,0.019933,0.013269,0.005906,0.001674,3e-04,-71.87308,-13.56638,-225.8596,-42.63207,2.04085,0.159563,0.195483,0.253634,0.413027,1.035104
beijing,2002/5/1,1.5251,1.5609,1.5924,1.5844,0.016843,0.011554,0.01176,0.011962,0.8959,0.8836,0.8732,0.684056,0.616869,0.593451,0.08,0.162,0.51,0.125,3.106,0.637,7.833896,0.8834,0.599091,0.000741,0.008466,0.03653,0.065713,0.063852,0.045219,0.029898,0.021283,0.015917,0.012583,0.012661,0.018051,0.02915,0.04014,0.050175,0.066102,0.084862,0.081669,0.048136,0.017061,0.003906,0.000608,-110.5572,-31.34461,-190.58325,-54.03319,2.883664,0.262384,0.326688,0.44866,0.76372,1.29124
beijing,2002/5/2,1.4932,1.4819,1.492,1.4682,0.013621,0.010341,0.011017,0.010035,0.8987,0.884,0.8827,0.715796,0.664542,0.639799,0.072,0.183,0.486,0.102,2.311,0.594,28.971174,0.899,0.647282,0.000803,0.005578,0.019467,0.03903,0.055327,0.057829,0.041729,0.023872,0.014604,0.012038,0.014547,0.024653,0.044396,0.058927,0.061341,0.061825,0.053912,0.032246,0.013041,0.004344,0.001478,0.00057,-93.01735,-26.05265,-176.1633,-49.34047,2.148275,0.227471,0.287952,0.397367,0.7066,1.88697
beijing,2002/5/6,1.33,1.3987,1.4512,1.4692,0.021321,0.011732,0.011373,0.011648,0.8414,0.8386,0.8315,0.686328,0.603315,0.589632,0.139,0.127,0.369,0.136,2.758,0.656,5.158352,0.7821,0.603594,0.000911,0.017408,0.102454,0.18117,0.119277,0.049263,0.021377,0.013067,0.011237,0.011689,0.013722,0.019359,0.032363,0.05223,0.070852,0.085364,0.087381,0.067175,0.036291,0.013885,0.003839,0.000772,-117.64317,-17.90232,-242.96541,-36.9732,2.049409,0.245648,0.290332,0.380358,0.637775,1.528746
beijing,2002/5/11,1.4556,1.4651,1.463,1.4446,0.013947,0.0116,0.014844,0.013436,0.9086,0.8899,0.8978,0.744554,0.723721,0.719739,0.134,0.328,0.683,0.085,2.501,0.551,39.754877,0.883,0.720149,0.000996,0.00547,0.01809,0.036358,0.04626,0.04296,0.040374,0.053712,0.087789,0.091084,0.053182,0.035956,0.039734,0.053731,0.060849,0.052692,0.037684,0.0241,0.01389,0.006876,0.002768,0.000883,-126.56225,-29.43485,-165.53251,-38.49825,2.596204,0.448482,0.539743,0.671074,0.869818,1.67889
